Case_id,Criminal_no,Criminal_name,Nick_name,arrest_date,dateofcrime,adress,age,occupation,Birthmark,crimeType,fatherName,gender,wnated
65,65,"anshuman raj",anshu,15/10/2023,20/08/2023,bihar,25,student,"mole in left palm",assault,"pragyan raj",male,no
66,66,"unnati prahar",unnati,25/10/2023,10/08/2023,bihar,25,student,"mole in left palm",scam,"abhishek prahar",female,no
67,67,"ashish raj",ashish,20/09/2023,19/06/2023,bihar,25,student,"mole in right palm",scam,"mannu raj",male,no
68,68,"akash raj",akku,20/06/2023,20/02/2023,bihar,30,unemployed,"burn in chest",fraudalent,"manju raj",male,no
69,69,"biraj joy",biraj,10/06/2023,14/02/2023,delhi,26,factory,"spot in elbow","false allegation","adin joy",male,no
7,9,"rahul dey",rahul,04/02/2023,04/03/2023,patia,26,doctor,"cut mark in hand",assault,"kashif dey",male,no
70,70,"raj joy",raj,10/06/2023,14/02/2023,delhi,26,factory,"spot in left arm","false allegation","din joy",male,no
71,71,"jindalal kumar",jind,20/06/2023,28/02/2023,bihar,21,student,"scar in lower lip",rape,"atijind kumar",male,yes
72,72,"joy kumar",joy,20/06/2023,28/02/2023,bihar,21,student,"scar in left arm",rape,"ajit kumar",male,yes
73,73,"lal kumar",lal,20/06/2023,28/02/2023,bihar,30,"corporate job ","mole in the lower lip",rape,"ajit kumar",male,yes
74,74,"ajay lal",ajay,10/10/2023,12/08/2023,bihar,30,"corporate job ","mole in the upper lip",scam,"kajay lal",male,no
75,75,"ajani dey",ajani,01/10/2023,11/09/2023,hyderabad,27,professor,"mole in the upper lip",theft,"akash dey",female,no
76,76,"alok khan",alok,05/10/2023,10/09/2023,bangalore,29,professor,"mole in the cheek",laundering,"akash khan",male,no
77,77,"noor ansari",noor,06/09/2023,01/07/2023,bangalore,29,professor,"mole in the left arm ring finger",laundering,"ashraf ansari",male,no
78,78,"jahan ansari",jaan,06/09/2023,01/07/2023,bangalore,21,student,"mole in cheek",laundering,"ashraf ansari",female,no
79,79,"sendal kafi",sheni,01/09/2023,01/07/2023,manipur,25,housewife,"burn in left hand",laundering,"ajraj kafi",female,no
8,10,"vikram dey",loid,04/02/2023,04/03/2023,delhi,26,doctor,"cut mark in hand",assault,"jaydev dey",male,no
80,80,"karishma kaif",karish,21/10/2023,11/10/2023,odisha,29,model,"four fingers in left hand",scam,"parinat kaif",female,no
9,11,"vikram singh",tim,05/02/2023,05/03/2023,delhi,26,doctor,"cut mark in hand",assault,"rahul singh",male,yes
